,mean_orig,sd_orig,mean_zero,sd_zero,mean_orthog,sd_orthog,mean_eval,sd_eval
train_v1,0.9692839741706848,0.0008162552737218494,0.9020479798316956,0.001818099366543532,0.9138959884643555,0.001786202487719191,0.9066279768943787,0.0018067473553670832
test_v1,0.9367199778556824,0.0032843602382109623,0.8907199621200561,0.002831433982527303,0.9031399726867676,0.003368680289720556,0.8967199683189392,0.002420114873016461
recon_v1,,,0.47213998436927795,0.011163467659483919,0.7667999625205993,0.0069781859747808745,0.6450199842453003,0.016766546929274047
train_v2,0.9417679905891418,0.001702515902399563,0.8665559887886047,0.0011697279244482716,0.8797679662704467,0.0022018048681756086,0.8733279705047607,0.0010351412074290395
test_v2,0.9086999773979187,0.002048169300263718,0.8588199615478516,0.001995492712401432,0.8709799766540527,0.0032112382494342796,0.8645999789237976,0.001784653224077839
recon_v2,,,0.5183199882507324,0.008858163828655449,0.7655399918556214,0.004437112236516965,0.6705599784851074,0.01457336361984531
recon_train_v1,,,0.774783992767334,0.011146419995455575,0.843075978755951,0.003939826124072096,0.8047359824180603,0.005548402378020358
recon_test_v1,,,0.7721999883651733,0.009733180639460808,0.8354199647903442,0.005103633751362837,0.8021999835968018,0.0030878924727295366
recon_train_v2,,,0.810423982143402,0.013608361426767728,0.8713759779930115,0.004893984761276839,0.8359639763832092,0.008168266593705877
recon_test_v2,,,0.7880799770355225,0.013565830158283542,0.8629599690437317,0.006354356966790898,0.8238399744033813,0.00878568518755432
train_both,0.9988399744033813,0.000212600067525402,0.9760879874229431,0.0007107290721970941,0.976967990398407,0.0008315810868604724,0.9761639833450317,0.0015646882491586432
test_both,0.9803999781608581,0.0007416082916128499,0.9652599692344666,0.001148038141203194,0.9656999826431274,0.001674807518997404,0.9636799573898316,0.0018833436469957521
recon_both1,,,0.7991999745368957,0.0102693783262021,0.874459981918335,0.0027400732587301107,0.840019965171814,0.004430230913494499
recon_both2,,,0.736679983139038,0.011771032164089671,0.8434199929237366,0.005796293348001054,0.8048399806022644,0.008444706789760224
recon_both,,,0.5279599905014039,0.01489037072370927,0.7756999850273132,0.0033128488861443053,0.66833997964859,0.012972394109255247
au1,,,12.0,0.0,19.6,0.5477225575051661,13.2,0.4472135954999579
au2,,,12.4,0.5477225575051662,19.8,0.4472135954999579,13.2,0.8366600265340756
loss1,,,24.450681304931642,0.31615853081902423,23.594204330444335,0.21980132464570457,23.957772064208985,0.3332790024888636
loss2,,,25.696591949462892,0.36857638947426546,24.276961517333984,0.49142783122677636,25.000250625610352,0.4026468565239363
recon_loss1,,,114.12879180908203,2.330269287440358,97.25448303222656,1.9016618909598553,106.63760375976562,1.3971911269089758
recon_loss2,,,127.4674560546875,3.152711936563492,106.57417907714844,1.9442242449575498,117.44074401855468,4.087456977501414
