,mean_orig,sd_orig,mean_zero,sd_zero,mean_orthog,sd_orthog,mean_eval,sd_eval
train_v1,0.9690319657325744,0.000636797443525494,0.9019799709320069,0.0021644809338856015,0.9033319830894471,0.0027921591358171967,0.9067279696464539,0.0017274066300353812
test_v1,0.9366599798202515,0.0025481424573273945,0.8908399701118469,0.0030484520348806536,0.892359983921051,0.0045937916809427074,0.8967599749565125,0.0025065798225977747
recon_v1,,,0.47125998735427854,0.011503173292438232,0.5027599811553956,0.012492110722851958,0.644979965686798,0.016338974067454434
train_v2,0.9412319779396057,0.0019181592676494911,0.866599977016449,0.0015238092301708061,0.8677479743957519,0.0026227721719405744,0.8736679911613464,0.0009288204289633996
test_v2,0.9082799792289734,0.001275553333906054,0.8585799694061279,0.0024304326756616024,0.8587599754333496,0.0035865058082842796,0.8651600003242492,0.0021302576069205607
recon_v2,,,0.5182199954986573,0.008923115464183631,0.5415999889373779,0.007273217504633091,0.6699999809265137,0.014800858069213609
recon_train_v1,,,0.7747079849243164,0.010628526092451709,0.7826239705085755,0.011803506111557397,0.8048559904098511,0.005505748290399419
recon_test_v1,,,0.7719999790191651,0.009464410954754213,0.7749799728393555,0.011467856872391638,0.802899968624115,0.0028609431093594463
recon_train_v2,,,0.8102959752082824,0.013588498188614814,0.8253959774971008,0.006707627987475856,0.8360239744186402,0.008357159310278382
recon_test_v2,,,0.7871999859809875,0.013879297574320973,0.8042799830436707,0.009554165571184752,0.8240999937057495,0.008500872040511675
train_both,0.9988079786300659,0.00025519220836208166,0.9763919711112976,0.0009154008759613704,0.9773879766464233,0.0009436759848031956,0.9762479662895203,0.0014612740344712998
test_both,0.9804199695587158,0.0007014245443102404,0.9652799963951111,0.001186166895642397,0.9663199782371521,0.001972837161666067,0.9637999773025513,0.0019748525589186974
recon_both1,,,0.7989199757575989,0.008867193003831843,0.8072199702262879,0.0047704291314158665,0.8403199791908265,0.005314797519781875
recon_both2,,,0.7361399888992309,0.010743738378929469,0.7524199843406677,0.016371072577388734,0.8054399847984314,0.010090988847873659
recon_both,,,0.5271199941635132,0.01296116073659348,0.5549399852752686,0.015150686811623059,0.668019962310791,0.013011029908087167
au1,,,12.0,0.0,12.6,0.5477225575051661,13.2,0.4472135954999579
au2,,,12.4,0.5477225575051662,12.8,0.4472135954999579,13.2,0.8366600265340756
loss1,,,24.450681304931642,0.31615853081902423,24.18744773864746,0.4760018823696524,23.957772064208985,0.3332790024888636
loss2,,,25.696591949462892,0.36857638947426546,25.323116302490234,0.3236686722820491,25.000250625610352,0.4026468565239363
recon_loss1,,,114.12879180908203,2.330269287440358,112.5063720703125,2.3853315191138647,106.63760375976562,1.3971911269089758
recon_loss2,,,127.4674560546875,3.152711936563492,124.51630554199218,3.2142152265070423,117.44074401855468,4.087456977501414
